Timestamp,SensorValue
1763900541.2870114,-9.98
1763900541.318848,-9.96
1763900541.394857,-9.86
1763900541.4108315,-9.82
1763900541.4822695,-9.67
1763900541.6040754,-9.29
1763900541.6776853,-9.06
1763900541.690468,-8.92
1763900541.758469,-8.64
1763900541.8051553,-8.36
1763900541.8454258,-8.15
1763900541.9213424,-7.71
1763900541.93231,-7.57
1763900542.017838,-6.99
1763900542.0696955,-6.66
1763900542.14128,-6.06
1763900542.2101398,-5.62
1763900542.2802405,-4.92
1763900542.3140614,-4.63
1763900542.395239,-3.86
1763900542.4507113,-3.37
1763900542.4709237,-3.15
1763900542.5312293,-2.62
1763900542.5854015,-2.08
1763900542.6022098,-1.93
1763900542.638084,-1.66
1763900542.727264,-0.82
1763900542.8018515,0.08
1763900542.8452573,0.52
1763900542.8973267,1.05
1763900542.9179828,1.25
1763900542.9277234,1.36
1763900542.9655066,1.72
1763900542.9994812,2.06
1763900543.0203886,2.18
1763900543.0678039,2.73
1763900543.146912,3.48
1763900543.190788,3.84
1763900543.2692351,4.59
1763900543.3341012,5.15
1763900543.3668306,5.44
1763900543.4126036,5.79
1763900543.4309611,5.96
1763900543.4869115,6.4
1763900543.5502222,6.86
1763900543.5779314,7.08
1763900543.6249034,7.4
1763900543.68157,7.76
1763900543.761685,8.15
1763900543.7870183,8.39
1763900543.8719022,8.82
1763900543.9328098,9.08
1763900544.0239155,9.43
1763900544.1244116,9.71
1763900544.1901252,9.84
1763900544.2779448,9.96
1763900544.302646,9.98
1763900544.3753474,10.0
1763900544.4500403,9.96
1763900544.523099,9.87
1763900544.614839,9.68
1763900544.685066,9.48
1763900544.7438517,9.31
1763900544.7578702,9.23
1763900544.768926,9.18
1763900544.8363996,8.91
1763900544.8499036,8.85
1763900544.8798761,8.69
1763900544.9203763,8.58
1763900544.9650211,8.24
1763900544.990596,8.16
1763900545.03725,7.81
1763900545.076034,7.56
1763900545.153462,7.07
1763900545.1841078,6.82
1763900545.1919785,6.75
1763900545.2209053,6.53
1763900545.2369752,6.41
1763900545.283512,6.05
1763900545.3752866,5.37
1763900545.4440622,4.71
1763900545.459976,4.56
1763900545.531474,4.0
1763900545.5810072,3.45
1763900545.6117597,3.33
1763900545.691803,2.48
1763900545.7698646,1.77
1763900545.7819202,1.56
1763900545.8153036,1.25
1763900545.8616333,0.86
1763900545.8840334,0.56
1763900545.9255369,0.08
1763900545.99308,-0.58
1763900546.058348,-1.17
1763900546.0906496,-1.47
1763900546.1302834,-1.8
1763900546.1355262,-1.97
1763900546.2303016,-2.89
1763900546.2406447,-2.99
1763900546.311211,-3.69
1763900546.3675408,-4.18
1763900546.393859,-4.42
1763900546.4495249,-4.92
1763900546.5455768,-5.7
1763900546.5801685,-6.03
1763900546.6090996,-6.25
1763900546.6489372,-6.55
1763900546.6965601,-6.88
1763900546.7879179,-7.53
1763900546.8395603,-7.85
1763900546.8507464,-7.93
1763900546.9187722,-8.33
1763900546.9806325,-8.6
1763900547.0511088,-8.99
1763900547.0890584,-9.11
1763900547.101279,-9.2
1763900547.1406643,-9.33
1763900547.1464062,-9.37
1763900547.1925755,-9.5
1763900547.2560687,-9.69
1763900547.3302705,-9.84
1763900547.4063263,-9.95
1763900547.4374225,-9.98
